Operation,Memory(KB),PolyModulusDegree,VectorSize,EncryptionTime(ms),OperationTime(ms),DecryptionTime(ms)
Cipher+Cipher,69680,1024,1000,0.388442,0.010519,0.062747
Cipher*Cipher,69680,1024,1000,0.388442,0.60666,0.092279
Cipher+Plain,69680,1024,1000,0.388442,0.027983,0.060332
Plain+Cipher,69680,1024,1000,0.388442,0.015129,0.057889
Cipher*Plain,69680,1024,1000,0.388442,0.059111,0.044513
Plain*Cipher,69680,1024,1000,0.388442,0.06486,0.044631
Cipher+Cipher,69680,2048,1000,0.789307,0.021134,0.121318
Cipher*Cipher,69680,2048,1000,0.789307,1.19515,0.151208
Cipher+Plain,69680,2048,1000,0.789307,0.033369,0.09122
Plain+Cipher,69680,2048,1000,0.789307,0.029447,0.091046
Cipher*Plain,69680,2048,1000,0.789307,0.123971,0.090765
Plain*Cipher,69680,2048,1000,0.789307,0.136148,0.090614
Cipher+Cipher,69680,4096,1000,2.45195,0.07437,0.394226
Cipher*Cipher,69680,4096,1000,2.45195,3.93046,0.632432
Cipher+Plain,69680,4096,1000,2.45195,0.077702,0.31176
Plain+Cipher,69680,4096,1000,2.45195,0.076228,0.305386
Cipher*Plain,69680,4096,1000,2.45195,0.523369,0.307944
Plain*Cipher,69680,4096,1000,2.45195,0.574421,0.308304
Cipher+Cipher,69680,8192,1000,7.46586,0.313443,1.36664
Cipher*Cipher,69680,8192,1000,7.46586,15.3996,2.62318
Cipher+Plain,69680,8192,1000,7.46586,0.372586,1.2559
Plain+Cipher,69680,8192,1000,7.46586,0.336993,1.15248
Cipher*Plain,69680,8192,1000,7.46586,2.64892,1.2194
Plain*Cipher,69680,8192,1000,7.46586,2.58844,1.36496
Cipher+Cipher,108932,16384,1000,26.3034,1.72413,5.46675
Cipher*Cipher,135812,16384,1000,26.3034,67.4864,9.92279
Cipher+Plain,135812,16384,1000,26.3034,1.51036,5.74071
Plain+Cipher,135812,16384,1000,26.3034,1.26244,4.85392
Cipher*Plain,137860,16384,1000,26.3034,10.5421,4.89708
Plain*Cipher,139908,16384,1000,26.3034,10.7549,5.40095
Cipher+Cipher,141060,16384,10000,24.3899,0.686664,4.80389
Cipher*Cipher,141060,16384,10000,24.3899,63.2507,7.81765
Cipher+Plain,141060,16384,10000,24.3899,1.33966,4.74974
Plain+Cipher,141060,16384,10000,24.3899,1.25017,4.85978
Cipher*Plain,141060,16384,10000,24.3899,10.0495,4.83856
Plain*Cipher,141060,16384,10000,24.3899,10.1622,4.98034
Cipher+Cipher,528188,32768,1000,103.331,6.72248,23.1246
Cipher*Cipher,626748,32768,1000,103.331,308.48,40.5178
Cipher+Plain,626748,32768,1000,103.331,5.75999,20.4053
Plain+Cipher,626748,32768,1000,103.331,6.40053,20.4908
Cipher*Plain,634428,32768,1000,103.331,43.1205,21.2093
Plain*Cipher,642108,32768,1000,103.331,45.5326,19.4932
Cipher+Cipher,646204,32768,10000,91.8698,4.08411,19.5764
Cipher*Cipher,646204,32768,10000,91.8698,278.625,31.5516
Cipher+Plain,646204,32768,10000,91.8698,5.81439,20.647
Plain+Cipher,646204,32768,10000,91.8698,5.94544,21.4845
Cipher*Plain,646204,32768,10000,91.8698,41.0032,20.9047
Plain*Cipher,646204,32768,10000,91.8698,42.0861,19.5645
